Date,Open,High,Low,Close,Adj Close,Volume
2018-12-12,36.500000,37.950001,36.450001,37.599998,37.599998,6858459
2018-12-13,37.900002,39.950001,37.799999,39.400002,39.400002,14693642
2018-12-14,39.549999,39.750000,38.400002,39.150002,39.150002,11344083
2018-12-17,38.950001,39.599998,38.900002,39.349998,39.349998,4633099
2018-12-18,39.200001,41.299999,39.049999,41.200001,41.200001,18819636
2018-12-19,42.500000,43.450001,41.000000,42.799999,42.799999,39443846
2018-12-20,42.849998,44.099998,42.250000,43.900002,43.900002,23368210
2018-12-21,44.299999,44.549999,42.849998,43.150002,43.150002,20661011
2018-12-24,43.150002,44.000000,42.799999,43.099998,43.099998,19699728
2018-12-26,43.099998,43.500000,42.200001,43.099998,43.099998,16279700
2018-12-27,43.500000,43.599998,42.299999,42.750000,42.750000,24344889
2018-12-28,43.000000,43.250000,42.650002,42.950001,42.950001,9284403
2018-12-31,43.200001,43.599998,42.849998,43.349998,43.349998,7270084
2019-01-01,43.400002,43.549999,43.099998,43.349998,43.349998,5377735
2019-01-02,43.200001,43.599998,42.200001,42.700001,42.700001,11044098
2019-01-03,42.650002,43.400002,42.400002,43.049999,43.049999,9264868
2019-01-04,43.099998,45.549999,42.849998,45.150002,45.150002,15503296
2019-01-07,46.000000,47.450001,45.500000,46.150002,46.150002,32354449
2019-01-08,46.349998,46.349998,45.349998,46.000000,46.000000,12865124
2019-01-09,46.150002,46.549999,45.599998,46.250000,46.250000,16285665
2019-01-10,46.000000,47.450001,45.750000,46.950001,46.950001,17758764
2019-01-11,46.700001,47.250000,46.400002,46.700001,46.700001,11946044
2019-01-14,47.000000,47.299999,46.250000,46.900002,46.900002,11332956
2019-01-15,47.150002,47.299999,46.750000,47.049999,47.049999,9634146
2019-01-16,47.250000,49.500000,46.549999,48.349998,48.349998,31360470
2019-01-17,48.750000,49.000000,47.049999,47.250000,47.250000,20202858
2019-01-18,47.500000,47.799999,46.750000,47.099998,47.099998,10430179
2019-01-21,47.549999,47.549999,46.099998,46.400002,46.400002,12756283
2019-01-22,46.250000,47.099998,45.000000,46.900002,46.900002,14796605
2019-01-23,46.900002,47.950001,46.849998,47.299999,47.299999,11852586
2019-01-24,47.250000,47.750000,46.750000,47.099998,47.099998,8296185
2019-01-25,47.200001,47.750000,46.000000,46.650002,46.650002,15342427
2019-01-28,46.700001,46.799999,45.549999,45.750000,45.750000,11538916
2019-01-29,45.400002,46.549999,45.400002,46.200001,46.200001,14673988
2019-01-30,46.299999,46.500000,44.599998,44.750000,44.750000,15419653
2019-01-31,45.000000,45.950001,43.599998,45.200001,45.200001,33093404
2019-02-01,45.299999,45.549999,44.250000,44.799999,44.799999,12112149
2019-02-04,44.750000,44.750000,42.849998,43.299999,43.299999,12853599
2019-02-05,43.299999,44.000000,42.299999,42.950001,42.950001,11112483
2019-02-06,42.200001,42.650002,40.250000,41.599998,41.599998,30889439
2019-02-07,42.349998,44.700001,41.950001,44.500000,44.500000,26199088
2019-02-08,44.299999,45.000000,43.200001,44.250000,44.250000,14957867
2019-02-11,44.250000,45.400002,43.349998,45.000000,45.000000,14059474
2019-02-12,45.250000,45.799999,44.700001,45.250000,45.250000,14979480
2019-02-14,44.099998,45.000000,43.400002,44.700001,44.700001,10052017
2019-02-15,44.799999,44.900002,43.650002,44.400002,44.400002,11344842
2019-02-18,44.299999,44.450001,42.900002,43.099998,43.099998,12960079
2019-02-19,42.849998,44.000000,42.849998,43.400002,43.400002,7114351
2019-02-20,43.849998,45.000000,43.599998,44.750000,44.750000,11652714
2019-02-21,44.849998,45.450001,44.799999,45.000000,45.000000,9882790
2019-02-22,45.099998,45.849998,45.000000,45.549999,45.549999,9042563
2019-02-25,45.900002,46.250000,45.549999,45.900002,45.900002,9793857
2019-02-26,45.099998,45.849998,44.200001,45.500000,45.500000,14147496
2019-02-27,45.900002,45.950001,44.400002,44.950001,44.950001,13101139
2019-02-28,45.299999,45.450001,44.549999,44.750000,44.750000,10850627
2019-03-01,45.250000,47.700001,45.150002,47.500000,47.500000,22045972
2019-03-05,47.900002,51.500000,47.400002,51.049999,51.049999,30830001
2019-03-06,51.450001,52.299999,50.349998,51.250000,51.250000,30311010
2019-03-07,49.900002,51.099998,48.599998,48.950001,48.950001,45974354
2019-03-08,48.750000,49.599998,48.500000,48.950001,48.950001,16409981
2019-03-11,49.150002,50.650002,48.650002,50.099998,50.099998,19344722
