Date,Open,High,Low,Close,Adj Close,Volume
2022-12-12,341.000000,344.000000,340.100006,343.200012,335.802612,11214662
2022-12-13,344.500000,346.000000,342.399994,345.600006,338.150848,10693426
2022-12-14,346.000000,347.350006,343.750000,345.399994,337.955139,7379878
2022-12-15,344.750000,346.100006,338.000000,338.850006,331.546356,8154931
2022-12-16,337.500000,338.899994,331.299988,335.100006,327.877167,12429280
2022-12-19,336.799988,342.350006,335.350006,340.500000,333.160797,7812801
2022-12-20,340.049988,340.950012,336.750000,340.149994,332.818329,5482218
2022-12-21,341.000000,341.250000,334.500000,335.149994,327.926086,7045201
2022-12-22,335.649994,337.399994,329.899994,332.450012,325.284302,6584445
2022-12-23,330.899994,331.899994,325.350006,326.700012,319.658264,10073884
2022-12-26,326.500000,335.100006,325.500000,334.600006,327.387939,9566210
2022-12-27,335.600006,336.399994,330.149994,333.149994,325.969208,6727343
2022-12-28,332.850006,335.000000,331.500000,334.399994,327.192261,7737562
2022-12-29,334.350006,335.750000,331.549988,335.350006,328.121796,8105359
2022-12-30,335.399994,336.750000,330.500000,331.549988,324.403687,6960264
2023-01-02,330.899994,334.000000,329.649994,332.850006,325.675690,5951893
2023-01-03,331.500000,333.350006,330.250000,331.100006,323.963409,5997051
2023-01-04,331.850006,332.500000,326.000000,327.000000,319.951752,6689769
2023-01-05,328.649994,333.899994,328.200012,333.450012,326.262756,8171437
2023-01-06,334.700012,337.549988,333.100006,335.049988,327.828247,8284135
2023-01-09,336.950012,341.299988,336.149994,338.049988,330.763580,10618786
2023-01-10,337.899994,338.399994,332.549988,333.399994,326.213806,6949605
2023-01-11,335.100006,335.100006,331.299988,331.799988,324.648285,4584293
2023-01-12,333.399994,333.600006,328.100006,329.850006,322.740326,6638422
2023-01-13,329.850006,332.250000,326.399994,328.750000,321.664032,14412671
2023-01-16,330.350006,332.200012,327.549988,330.200012,323.082794,8253942
2023-01-17,330.200012,333.500000,329.100006,332.250000,325.088623,13712537
2023-01-18,334.000000,336.549988,332.399994,334.649994,327.436859,12555527
2023-01-19,334.000000,335.649994,331.649994,332.149994,324.990753,8346130
